conversation_id,model,prompt0_id,model_prompt0_interaction,time_to_failure,censored,avg_prompt_to_prompt_drift,avg_context_to_prompt_drift,avg_prompt_complexity
0,gemini_15,-3868762744116692312,gemini_15_-3868762744116692312,0,0,,0.1104629635810852,20.0
1,gemini_15,3303949904590227517,gemini_15_3303949904590227517,2,0,0.04780913144350052,0.09641069836086696,45.333333333333336
2,gemini_15,2978791715112100450,gemini_15_2978791715112100450,9,1,0.03801135718822479,0.2875424755944146,31.11111111111111
3,gemini_15,8228809181693590028,gemini_15_8228809181693590028,0,0,,0.12193459272384644,38.0
4,gemini_15,-5883582487755581909,gemini_15_-5883582487755581909,2,0,0.05770280957221985,0.08236302269829644,49.0
5,gemini_15,-7748148764174322859,gemini_15_-7748148764174322859,0,0,,0.10599368810653687,48.0
6,gemini_15,-9120735786299256593,gemini_15_-9120735786299256593,0,0,,0.06334960460662842,51.0
7,gemini_15,6519451917082435996,gemini_15_6519451917082435996,0,0,,0.12835955619812012,46.0
8,gemini_15,7796724402164779449,gemini_15_7796724402164779449,0,0,,0.08027243614196777,59.0
9,gemini_15,-7579322367467478631,gemini_15_-7579322367467478631,0,0,,0.09266054630279541,71.0
10,gemini_15,2735028203675223970,gemini_15_2735028203675223970,0,0,,0.08849996328353882,46.0
11,gemini_15,-8800594601742214742,gemini_15_-8800594601742214742,0,0,,0.06394988298416138,60.0
12,gemini_15,-6148641726913253952,gemini_15_-6148641726913253952,0,0,,0.1568424105644226,21.0
13,gemini_15,7270289390969226437,gemini_15_7270289390969226437,5,0,0.03645813465118408,0.09761939446131389,39.44444444444444
14,gemini_15,-3324111638340831616,gemini_15_-3324111638340831616,0,0,,0.055885493755340576,57.0
15,gemini_15,6426691030127866090,gemini_15_6426691030127866090,5,0,0.06908028572797775,0.14240388737784493,31.11111111111111
16,gemini_15,5892786066623401331,gemini_15_5892786066623401331,9,1,0.0571511834859848,0.1550225019454956,46.77777777777778
17,gemini_15,-5463727270396169906,gemini_15_-5463727270396169906,9,1,0.045417219400405884,0.10197083817587958,35.55555555555556
18,gemini_15,3534595325443628912,gemini_15_3534595325443628912,9,1,0.07747278362512589,0.14043481482399833,27.22222222222222
19,gemini_15,-2630813834556949921,gemini_15_-2630813834556949921,0,0,,0.05300480127334595,32.0
20,gemini_15,1230088118618836747,gemini_15_1230088118618836747,0,0,,0.08354103565216064,42.0
21,gemini_15,1852916232454158090,gemini_15_1852916232454158090,9,1,0.06012541800737381,0.18510788016849095,35.111111111111114
22,gemini_15,421036011198874655,gemini_15_421036011198874655,0,0,,0.05916529893875122,44.0
23,gemini_15,3017245906011897620,gemini_15_3017245906011897620,3,0,0.04545191675424576,0.08368313312530518,67.0
24,gemini_15,3400353470847938971,gemini_15_3400353470847938971,9,1,0.05363290756940842,0.15537113613552517,38.22222222222222
25,gemini_15,-6783124165237271347,gemini_15_-6783124165237271347,9,1,0.05305250734090805,0.14722045262654623,33.111111111111114
26,gemini_15,-5521210303032175665,gemini_15_-5521210303032175665,1,0,0.0454535037279129,0.12690034177568224,46.111111111111114
27,gemini_15,5002219929762452798,gemini_15_5002219929762452798,0,0,,0.10374206304550171,33.0
28,gemini_15,-5753029251514169321,gemini_15_-5753029251514169321,0,0,,0.04702162742614746,53.0
29,gemini_15,-6203194028862240724,gemini_15_-6203194028862240724,3,0,0.06111773103475571,0.12551077206929526,56.888888888888886
30,gemini_15,3782419834493346304,gemini_15_3782419834493346304,2,0,0.05267079919576645,0.1685117615593804,51.666666666666664
31,gemini_15,-5830595497067547464,gemini_15_-5830595497067547464,1,0,0.053549379110336304,0.10630377133687337,42.22222222222222
32,gemini_15,3283035069522641043,gemini_15_3283035069522641043,0,0,,0.04574209451675415,51.0
33,gemini_15,6367010592123423365,gemini_15_6367010592123423365,8,0,0.04384791851043701,0.15035021305084229,41.22222222222222
34,gemini_15,-2602450431110440176,gemini_15_-2602450431110440176,0,0,,0.10959470272064209,44.0
35,gemini_15,1496555721770479851,gemini_15_1496555721770479851,6,0,0.034725263714790344,0.06307317813237508,98.0
36,gemini_15,-2532804206855381128,gemini_15_-2532804206855381128,9,1,0.0537508949637413,0.09383679098553127,77.88888888888889
37,gemini_15,6576872830977679673,gemini_15_6576872830977679673,9,1,0.04462006688117981,0.109779159228007,77.33333333333333
38,gemini_15,6604037401904095430,gemini_15_6604037401904095430,0,0,,0.07779580354690552,37.0
39,gemini_15,5901919261020755834,gemini_15_5901919261020755834,9,1,0.05622437596321106,0.1360470387670729,85.66666666666667
40,gemini_15,-4659031628495680299,gemini_15_-4659031628495680299,0,0,,0.10828995704650879,42.0
41,gemini_15,-657705933917334885,gemini_15_-657705933917334885,2,0,0.02879936248064041,0.0985290805498759,47.22222222222222
42,gemini_15,8799888050619316884,gemini_15_8799888050619316884,4,0,0.05376157909631729,0.08039299647013347,82.77777777777777
43,gemini_15,1261228498230287811,gemini_15_1261228498230287811,0,0,,0.05067199468612671,78.0
44,gemini_15,7841841025893810847,gemini_15_7841841025893810847,2,0,0.035595059394836426,0.12500611941019693,51.333333333333336
45,gemini_15,6411162474977205366,gemini_15_6411162474977205366,9,1,0.04992138594388962,0.08422074715296428,58.77777777777778
46,gemini_15,-6788785493859323635,gemini_15_-6788785493859323635,6,0,0.02362547069787979,0.05021178060107761,108.55555555555556
47,gemini_15,-684339054241722652,gemini_15_-684339054241722652,1,0,0.039930976927280426,0.11527852217356364,49.111111111111114
48,gemini_15,8993113398435204735,gemini_15_8993113398435204735,2,0,0.048656344413757324,0.130425320731269,28.11111111111111
49,gemini_15,1906516324081487351,gemini_15_1906516324081487351,2,0,0.051334530115127563,0.10595530271530151,37.333333333333336
50,gemini_15,-5814619913067464838,gemini_15_-5814619913067464838,5,0,0.043426647782325745,0.13597964578204685,29.11111111111111
51,gemini_15,-1821642933381494386,gemini_15_-1821642933381494386,4,0,0.04141635447740555,0.1113523178630405,51.666666666666664
52,gemini_15,279037356966820280,gemini_15_279037356966820280,2,0,0.046640895307064056,0.12489861249923706,40.111111111111114
53,gemini_15,3286831512485668189,gemini_15_3286831512485668189,9,1,0.04159918427467346,0.07022302018271552,93.44444444444444
54,gemini_15,5650208345660479362,gemini_15_5650208345660479362,9,1,0.03442399203777313,0.08260609043969049,65.0
55,gemini_15,6692051999058394744,gemini_15_6692051999058394744,0,0,,0.07507234811782837,83.0
56,gemini_15,5579573992615529324,gemini_15_5579573992615529324,1,0,0.06613463163375854,0.0887456734975179,46.44444444444444
57,gemini_15,5399691353183534643,gemini_15_5399691353183534643,9,1,0.05165432393550873,0.11490582095252143,40.22222222222222
58,gemini_15,-7618038066063214621,gemini_15_-7618038066063214621,2,0,0.03907597064971924,0.06976148155000475,100.44444444444444
59,gemini_15,-1725314727614475826,gemini_15_-1725314727614475826,2,0,0.04338012635707855,0.07124975654813978,87.11111111111111
60,gemini_15,-7321508789006103925,gemini_15_-7321508789006103925,0,0,,0.10881263017654419,25.0
61,gemini_15,6203118266234198273,gemini_15_6203118266234198273,0,0,,0.06693059206008911,67.0
62,gemini_15,6404077728048152121,gemini_15_6404077728048152121,9,1,0.033068351447582245,0.10038395722707112,51.22222222222222
63,gemini_15,-151218354502148047,gemini_15_-151218354502148047,2,0,0.037690192461013794,0.07974419328901503,70.0
64,gemini_15,-2134257059846673757,gemini_15_-2134257059846673757,0,0,,0.04781597852706909,60.0
65,gemini_15,3403846049252743026,gemini_15_3403846049252743026,1,0,0.0553327277302742,0.11740090449651082,35.111111111111114
66,gemini_15,-311383445613208455,gemini_15_-311383445613208455,0,0,,0.04646807909011841,41.0
67,gemini_15,4070865789946883419,gemini_15_4070865789946883419,0,0,,0.034061968326568604,57.0
68,gemini_15,-3641511282237825321,gemini_15_-3641511282237825321,0,0,,0.05486154556274414,55.0
69,gemini_15,5615746080009328257,gemini_15_5615746080009328257,9,1,0.05163790285587311,0.12291419506072998,54.333333333333336
70,gemini_15,3777543977150283510,gemini_15_3777543977150283510,2,0,0.03757350146770477,0.08263648880852593,41.333333333333336
71,gemini_15,4843915009723578836,gemini_15_4843915009723578836,1,0,0.0577639639377594,0.13674654563268027,36.44444444444444
