conversation_id,model,prompt0_id,model_prompt0_interaction,time_to_failure,censored,avg_prompt_to_prompt_drift,avg_context_to_prompt_drift,avg_prompt_complexity
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,0,0,,0.027126073837280273,20.0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,4,0,0.04695004224777222,0.10257971949047512,45.0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,0,0,,0.03821372985839844,22.0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,0,0,,0.023550748825073242,38.0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,9,1,0.05535357445478439,0.09893221325344509,48.666666666666664
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,9,1,0.04835675656795502,0.13326082626978555,57.0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,1,0,0.0401584729552269,0.16228310929404366,60.0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,0,0,,0.021608948707580566,46.0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,0,0,,0.021556735038757324,59.0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,0,0,,0.023331940174102783,71.0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,0,0,,0.023764431476593018,46.0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,0,0,,0.023681044578552246,60.0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,0,0,,0.05512511730194092,21.0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,0,0,,0.0367739200592041,30.0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,0,0,,0.02274477481842041,57.0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,9,1,0.06935124099254608,0.1387768586476644,30.77777777777778
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,7,0,0.0580633282661438,0.1391562819480896,46.44444444444444
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,9,1,0.04549553245306015,0.11201383007897271,35.22222222222222
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,9,1,0.06589813530445099,0.11111503177218968,26.77777777777778
19,deepseek_r1,-2630813834556949921,deepseek_r1_-2630813834556949921,4,0,0.04158560186624527,0.0922145512368944,42.55555555555556
20,deepseek_r1,1230088118618836747,deepseek_r1_1230088118618836747,0,0,,0.020845353603363037,42.0
21,deepseek_r1,1852916232454158090,deepseek_r1_1852916232454158090,9,1,0.05694301426410675,0.13996738857693142,34.77777777777778
22,deepseek_r1,421036011198874655,deepseek_r1_421036011198874655,3,0,0.02514439821243286,0.10169055064519246,53.888888888888886
23,deepseek_r1,3017245906011897620,deepseek_r1_3017245906011897620,6,0,0.046917952597141266,0.0933244956864251,66.66666666666667
24,deepseek_r1,3400353470847938971,deepseek_r1_3400353470847938971,9,1,0.04758000373840332,0.10134976440005833,37.77777777777778
25,deepseek_r1,-6783124165237271347,deepseek_r1_-6783124165237271347,9,1,0.04878843575716019,0.12150809499952528,32.77777777777778
26,deepseek_r1,-5521210303032175665,deepseek_r1_-5521210303032175665,0,0,,0.021983087062835693,36.0
27,deepseek_r1,5002219929762452798,deepseek_r1_5002219929762452798,8,0,0.04665898531675339,0.07770857546064588,42.44444444444444
28,deepseek_r1,-5753029251514169321,deepseek_r1_-5753029251514169321,2,0,0.05599944293498993,0.10981584257549709,63.77777777777778
29,deepseek_r1,-6203194028862240724,deepseek_r1_-6203194028862240724,4,0,0.04637521505355835,0.0853807462586297,55.888888888888886
30,deepseek_r1,3782419834493346304,deepseek_r1_3782419834493346304,4,0,0.060880593955516815,0.11165242062674628,51.55555555555556
31,deepseek_r1,-5830595497067547464,deepseek_r1_-5830595497067547464,1,0,0.05255214869976044,0.08615679211086696,41.888888888888886
32,deepseek_r1,3283035069522641043,deepseek_r1_3283035069522641043,0,0,,0.024554014205932617,51.0
33,deepseek_r1,6367010592123423365,deepseek_r1_6367010592123423365,6,0,0.04393671452999115,0.09577015373441908,41.0
34,deepseek_r1,-2602450431110440176,deepseek_r1_-2602450431110440176,0,0,,0.0359187126159668,44.0
35,deepseek_r1,1496555721770479851,deepseek_r1_1496555721770479851,9,1,0.035785235464572906,0.05586672491497464,97.77777777777777
36,deepseek_r1,-2532804206855381128,deepseek_r1_-2532804206855381128,9,1,0.051498256623744965,0.07437633143530951,77.55555555555556
37,deepseek_r1,6576872830977679673,deepseek_r1_6576872830977679673,7,0,0.042093805968761444,0.08642046981387669,77.0
38,deepseek_r1,6604037401904095430,deepseek_r1_6604037401904095430,1,0,0.051308996975421906,0.1261541247367859,46.0
39,deepseek_r1,5901919261020755834,deepseek_r1_5901919261020755834,1,0,0.05948702245950699,0.1685168676906162,86.44444444444444
40,deepseek_r1,-4659031628495680299,deepseek_r1_-4659031628495680299,0,0,,0.0335010290145874,42.0
41,deepseek_r1,-657705933917334885,deepseek_r1_-657705933917334885,0,0,,0.014438331127166748,37.0
42,deepseek_r1,8799888050619316884,deepseek_r1_8799888050619316884,6,0,0.049270451068878174,0.08784339825312297,81.55555555555556
43,deepseek_r1,1261228498230287811,deepseek_r1_1261228498230287811,9,1,0.055548228323459625,0.09831947750515407,90.66666666666667
44,deepseek_r1,7841841025893810847,deepseek_r1_7841841025893810847,0,0,,0.017327964305877686,42.0
45,deepseek_r1,6411162474977205366,deepseek_r1_6411162474977205366,9,1,0.06357355415821075,0.08918644322289361,58.333333333333336
46,deepseek_r1,-6788785493859323635,deepseek_r1_-6788785493859323635,1,0,0.02196502685546875,0.046494371361202665,108.22222222222223
47,deepseek_r1,-684339054241722652,deepseek_r1_-684339054241722652,9,1,0.04052979499101639,0.09019537766774495,48.77777777777778
