conversation_id,model,prompt0_id,model_prompt0_interaction,round,prompt_to_prompt_drift,context_to_prompt_drift,cumulative_drift,prompt_complexity,confidence,failure,censored
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,0,,0.027126073837280273,0.0,20.0,,1,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,1,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,2,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,3,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,4,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,5,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,6,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,7,,,,,,0,0
0,deepseek_r1,-3868762744116692312,deepseek_r1_-3868762744116692312,8,,,,,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,0,,0.035918593406677246,0.0,36.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,1,0.02368217706680298,0.09247416257858276,0.02368217706680298,39.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,2,0.04033851623535156,0.12677663564682007,0.06402069330215454,52.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,3,0.033951759338378906,0.10726374387741089,0.09797245264053345,46.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,4,0.059926629066467285,0.13791388273239136,0.15789908170700073,46.0,,1,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,5,0.08320164680480957,0.0979657769203186,0.2411007285118103,45.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,6,0.06538039445877075,0.13049399852752686,0.30648112297058105,44.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,7,0.030265510082244873,0.09675288200378418,0.3367466330528259,47.0,,0,0
1,deepseek_r1,3303949904590227517,deepseek_r1_3303949904590227517,8,0.03885370492935181,0.09765779972076416,0.37560033798217773,50.0,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,0,,0.03821372985839844,0.0,22.0,,1,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,1,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,2,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,3,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,4,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,5,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,6,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,7,,,,,,0,0
2,deepseek_r1,2978791715112100450,deepseek_r1_2978791715112100450,8,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,0,,0.023550748825073242,0.0,38.0,,1,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,1,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,2,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,3,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,4,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,5,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,6,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,7,,,,,,0,0
3,deepseek_r1,8228809181693590028,deepseek_r1_8228809181693590028,8,,,,,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,0,,0.023100554943084717,0.0,39.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,1,0.017105519771575928,0.09162724018096924,0.017105519771575928,42.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,2,0.0343974232673645,0.0999293327331543,0.05150294303894043,55.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,3,0.03479790687561035,0.09224134683609009,0.08630084991455078,49.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,4,0.060373127460479736,0.15022122859954834,0.14667397737503052,49.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,5,0.07524597644805908,0.09278678894042969,0.2219199538230896,48.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,6,0.09108233451843262,0.1269592046737671,0.3130022883415222,50.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,7,0.05096215009689331,0.12666064500808716,0.3639644384384155,53.0,,0,0
4,deepseek_r1,-5883582487755581909,deepseek_r1_-5883582487755581909,8,0.07886415719985962,0.08686357736587524,0.44282859563827515,53.0,,0,1
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,0,,0.03351789712905884,0.0,48.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,1,0.018949806690216064,0.12175619602203369,0.018949806690216064,51.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,2,0.03266984224319458,0.15203261375427246,0.051619648933410645,64.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,3,0.03258174657821655,0.14173966646194458,0.0842013955116272,58.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,4,0.07491755485534668,0.19614756107330322,0.15911895036697388,58.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,5,0.10240048170089722,0.13949614763259888,0.2615194320678711,57.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,6,0.06453132629394531,0.15541279315948486,0.3260507583618164,56.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,7,0.025364398956298828,0.13019567728042603,0.35141515731811523,59.0,,0,0
5,deepseek_r1,-7748148764174322859,deepseek_r1_-7748148764174322859,8,0.0354388952255249,0.1290488839149475,0.38685405254364014,62.0,,0,1
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,0,,0.023160934448242188,0.0,51.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,1,0.015214264392852783,0.17422431707382202,0.015214264392852783,54.0,,1,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,2,0.020775198936462402,0.17330092191696167,0.035989463329315186,67.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,3,0.017940163612365723,0.18519455194473267,0.05392962694168091,61.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,4,0.06512850522994995,0.20969486236572266,0.11905813217163086,61.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,5,0.08767914772033691,0.17514419555664062,0.20673727989196777,60.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,6,0.06009131669998169,0.1916218400001526,0.26682859659194946,59.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,7,0.02329730987548828,0.16890424489974976,0.29012590646743774,62.0,,0,0
6,deepseek_r1,-9120735786299256593,deepseek_r1_-9120735786299256593,8,0.03114187717437744,0.15930211544036865,0.3212677836418152,65.0,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,0,,0.021608948707580566,0.0,46.0,,1,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,1,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,2,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,3,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,4,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,5,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,6,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,7,,,,,,0,0
7,deepseek_r1,6519451917082435996,deepseek_r1_6519451917082435996,8,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,0,,0.021556735038757324,0.0,59.0,,1,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,1,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,2,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,3,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,4,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,5,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,6,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,7,,,,,,0,0
8,deepseek_r1,7796724402164779449,deepseek_r1_7796724402164779449,8,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,0,,0.023331940174102783,0.0,71.0,,1,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,1,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,2,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,3,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,4,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,5,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,6,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,7,,,,,,0,0
9,deepseek_r1,-7579322367467478631,deepseek_r1_-7579322367467478631,8,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,0,,0.023764431476593018,0.0,46.0,,1,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,1,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,2,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,3,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,4,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,5,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,6,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,7,,,,,,0,0
10,deepseek_r1,2735028203675223970,deepseek_r1_2735028203675223970,8,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,0,,0.023681044578552246,0.0,60.0,,1,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,1,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,2,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,3,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,4,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,5,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,6,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,7,,,,,,0,0
11,deepseek_r1,-8800594601742214742,deepseek_r1_-8800594601742214742,8,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,0,,0.05512511730194092,0.0,21.0,,1,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,1,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,2,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,3,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,4,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,5,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,6,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,7,,,,,,0,0
12,deepseek_r1,-6148641726913253952,deepseek_r1_-6148641726913253952,8,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,0,,0.0367739200592041,0.0,30.0,,1,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,1,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,2,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,3,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,4,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,5,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,6,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,7,,,,,,0,0
13,deepseek_r1,7270289390969226437,deepseek_r1_7270289390969226437,8,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,0,,0.02274477481842041,0.0,57.0,,1,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,1,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,2,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,3,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,4,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,5,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,6,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,7,,,,,,0,0
14,deepseek_r1,-3324111638340831616,deepseek_r1_-3324111638340831616,8,,,,,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,0,,0.04890608787536621,0.0,22.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,1,0.02691042423248291,0.10422945022583008,0.02691042423248291,25.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,2,0.04585468769073486,0.15122562646865845,0.07276511192321777,38.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,3,0.04213792085647583,0.13541913032531738,0.1149030327796936,32.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,4,0.060333430767059326,0.19524908065795898,0.17523646354675293,32.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,5,0.08176440000534058,0.1355862021446228,0.2570008635520935,31.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,6,0.11905735731124878,0.16311442852020264,0.3760582208633423,29.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,7,0.1040831208229065,0.1789136528968811,0.4801413416862488,32.0,,0,0
15,deepseek_r1,6426691030127866090,deepseek_r1_6426691030127866090,8,0.07466858625411987,0.13634806871414185,0.5548099279403687,36.0,,0,1
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,0,,0.03927212953567505,0.0,37.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,1,0.029411017894744873,0.13385820388793945,0.029411017894744873,40.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,2,0.0389249324798584,0.1397823691368103,0.06833595037460327,53.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,3,0.030567407608032227,0.12563782930374146,0.0989033579826355,47.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,4,0.07480013370513916,0.20469504594802856,0.17370349168777466,47.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,5,0.11078763008117676,0.13576620817184448,0.2844911217689514,46.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,6,0.07583975791931152,0.17709589004516602,0.36033087968826294,47.0,,0,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,7,0.034596145153045654,0.16611307859420776,0.3949270248413086,50.0,,1,0
16,deepseek_r1,5892786066623401331,deepseek_r1_5892786066623401331,8,0.0695796012878418,0.1301857829093933,0.4645066261291504,51.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,0,,0.036055147647857666,0.0,26.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,1,0.03349083662033081,0.11639249324798584,0.03349083662033081,29.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,2,0.02445322275161743,0.12514477968215942,0.05794405937194824,42.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,3,0.025804460048675537,0.10593312978744507,0.08374851942062378,36.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,4,0.05748790502548218,0.16167569160461426,0.14123642444610596,36.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,5,0.07763671875,0.10365045070648193,0.21887314319610596,35.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,6,0.053681373596191406,0.11382997035980225,0.27255451679229736,35.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,7,0.03527945280075073,0.13171696662902832,0.3078339695930481,38.0,,0,0
17,deepseek_r1,-5463727270396169906,deepseek_r1_-5463727270396169906,8,0.056130290031433105,0.11372584104537964,0.3639642596244812,40.0,,0,1
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,0,,0.05722588300704956,0.0,18.0,,0,0
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,1,0.03904980421066284,0.11270958185195923,0.03904980421066284,21.0,,0,0
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,2,0.039221346378326416,0.12081396579742432,0.07827115058898926,34.0,,0,0
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,3,0.0467146635055542,0.10243195295333862,0.12498581409454346,28.0,,0,0
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,4,0.08102560043334961,0.17275339365005493,0.20601141452789307,28.0,,0,0
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,5,0.11683255434036255,0.09966540336608887,0.3228439688682556,27.0,,0,0
18,deepseek_r1,3534595325443628912,deepseek_r1_3534595325443628912,6,0.11465376615524292,0.1314162015914917,0.43749773502349854,25.0,,0,0
